creator,creator_profile_url,video_url,video_id,description,duration,views,likes,comments,ROAS,ad_spend,duration_seconds
the.skinnurse,https://www.tiktok.com/@7492015390085088298,https://www.tiktok.com/@/video/7619185077628456206?_r=1,7619185077628455936,🎀,12s,195010,2092,14,4.35,27.31,12
postcolognefragrance,https://www.tiktok.com/@6801547738603095045,https://www.tiktok.com/@/video/7625395684082076941?_r=1,7625395684082076672,This one is a hit. Everyone I’ve put onto it has loved it. Get it before it’s gone. #fragrancereview #fragrancetiktok #fragrance #fypシ゚viral #fypage @ARMAF USA ,87s,47600,432,84,6.67,104.52,87
becalmtwin,https://www.tiktok.com/@179202627707027456,https://www.tiktok.com/@/video/7625648608213306655?_r=1,7625648608213306368,Under Eyes Matter👀‼️,30s,606500,5626,9,5.0,359.08,30
andraajuliee,https://www.tiktok.com/@6765958737431757829,https://www.tiktok.com/@/video/7626453731315338527?_r=1,7626453731315338240,#fyp #fypシ #WeeklyDeals #SpringBreak #lashclusters ,14s,31500,1963,4,5.0,24.88,14
sharladavidson,https://www.tiktok.com/@7160725420260820011,https://www.tiktok.com/@/video/7625075715590966542?_r=1,7625075715590966272,Love this stuff. So easy to use and does the job covering my grays. I love the natural look of it. 10/10000 recommend 🙌 #fyp #haircolor #semipermanent #glosstreatmemt #dphue ,37s,1392,131,4,0.0,0.0,37
kurly.giselle,https://www.tiktok.com/@6744773802946872326,https://www.tiktok.com/@/video/7626433103661255967?_r=1,7626433103661255680,Rizos Curls Gloss + Repair Mask 🌴🥭💦 #tiktokshop #rizoscurls #hairmask #curlyhairroutine #tiktokshopspringglowup ,13s,1358,17,1,6.25,20.48,13
oliviasfayves,https://www.tiktok.com/@7437900573931947054,https://www.tiktok.com/@/video/7625685624015686926?_r=1,7625685624015686656,"Earvana roll on helps stop the ringing, buzzing, or hissing in your ears that come from tinnitus! #earvana #tinnitus #earringing ",26s,98400,248,47,3.85,8.28,26
finds_for_fun,https://www.tiktok.com/@6997547712715965445,https://www.tiktok.com/@/video/7626131156848758047?_r=1,7626131156848757760,#moisturizer #skincare #bodycare #hyaluronicacid #saltairbody @Saltair Body ,27s,24300,46,0,4.0,284.05,27
authenticallypriscilla,https://www.tiktok.com/@6807522084911449094,https://www.tiktok.com/@/video/7626111157379632397?_r=1,7626111157379632128,An eye cream that covers dark circles and firms and tightens 🤯 you all have been gate keeping lol! This is a game changer. @Dr.Melaxin  #darkcircles #darkundereye #undereyecircles #undereyebags #tiktokshopcreatorpicks ,41s,188500,904,28,5.88,1156.68,41
donnagarcia2637,https://www.tiktok.com/@7591954334784275469,https://www.tiktok.com/@/video/7626303764424690958?_r=1,7626303764424690688,#fyp #tiktokshop #fy ,22s,59035,82,3,3.57,19.0,22
leigha_chrstine,https://www.tiktok.com/@7420284166799852587,https://www.tiktok.com/@/video/7626446743776857374?_r=1,7626446743776857088,don’t be shy with your spf application!! #mineralspf #spf50 #nowhitecast #sunscreen #mineralsunscreen @CeraVe ,63s,11600,186,16,4.35,42.98,63
timelesstrends57,https://www.tiktok.com/@7003492185832391686,https://www.tiktok.com/@/video/7626501374821387550?_r=1,7626501374821387264,#creatorsearchinsights The perfect cream blush from Lys! It’s filled with skincare ingredients and gives a beautiful glow to your skin! #creamblush #creamblushes #creamblusher #pinkblush ,28s,795,8,4,4.76,8.32,28
simons.savings,https://www.tiktok.com/@7329262829689586734,https://www.tiktok.com/@/video/7624699337393720607?_r=1,7624699337393720320,Testing the viral Baccarat 540 dupe Romass rouge essence #baccaratrouge540 #cologne #fragrance #fragrancetiktok #rouge540 ,65s,23600,107,7,4.0,89.98,65
mandi_under_influence,https://www.tiktok.com/@7479577186335228974,https://www.tiktok.com/@/video/7624965768483998990?_r=1,7624965768483998720,"Do l like it? Yes. Is it going to do what filler does? No. Sorry but no that being said, do your due diligence on filler. #volufiline #pdrn #fillers💉 #beautyhack @medicube global ",98s,98500,525,18,4.76,153.51,98
thebeautydoctrine,https://www.tiktok.com/@6857124115511329797,https://www.tiktok.com/@/video/7623107824536538381?_r=1,7623107824536538112,"Luxury skincare prices do not always reflect better formulations.  Skinceuticals C E Ferulic is one of the most famous vitamin C serums on the market, but it costs about $185 and relies on pure ascorbic acid at a very low pH. This type of vitamin C can be effective but is also known for causing irritation, dryness, and burning in many users, which is reflected in a surprising number of negative reviews. When you compare the ingredient structure to more affordable formulas, the difference becomes interesting.  Seoul Ceuticals uses sodium ascorbyl phosphate, a more stable and gentler vitamin C derivative, combined with MSM, centella, aloe, and ferulic acid to support skin repair and antioxidant protection.  At under $20, it raises a fair question about whether luxury pricing in skincare always reflects superior formulation.  #tiktokshopcreatorpicks #greenish #skincarecomparison #vitamincserum #koreanskincare",37s,2428,64,13,0.0,0.0,37
lj_.cutz,https://www.tiktok.com/@7385678592837125162,https://www.tiktok.com/@/video/7626606270308535582?_r=1,7626606270308535296,Definitely the most powerful clipper I’ve tried 🔥🐍#clippers #tiktokshop #barber #fyp #viral ,47s,3120,30,1,0.0,0.0,47
christianshopdeals,https://www.tiktok.com/@7378396721491428398,https://www.tiktok.com/@/video/7626265886982245663?_r=1,7626265886982245376,We were NOT expecting this 😭,66s,75700,305,20,3.45,175.8,66
kimberly78raern,https://www.tiktok.com/@6939332609933018118,https://www.tiktok.com/@/video/7625324734544088351?_r=1,7625324734544088064,This mist is so light but nourishing for the skin#skincare ,91s,2185,17,6,0.0,0.0,91
moralaqueteenamora,https://www.tiktok.com/@14672604,https://www.tiktok.com/@/video/7625394525959097630?_r=1,7625394525959097344,"Este skincare coreano va ganandooo!! Lo amo 😮‍💨. Cuál otro creen que debería probar?? #hyperpigmentation #glowingskin #darkspots #koreanskincare #koreanskincareproducts AD This product is not intended to diagnose, treat, cure, or prevent any medical condition or skin disorder. This product should not replace professional dermatological advice.",44s,26100,76,0,5.56,64.73,44
viral_bliss,https://www.tiktok.com/@7270994946433762346,https://www.tiktok.com/@/video/7623974511251049742?_r=1,7623974511251049472,Everything you get with this volufiline PDRN Collagen Stick at this price I WAS SOLD! #medicube #tiktokshopspringglowup #kbeauty #koreanskincare #volufiline,100s,231800,1080,87,5.0,962.2,100
terreetaughtme,https://www.tiktok.com/@6633270361269452806,https://www.tiktok.com/@/video/7622096726802959629?_r=1,7622096726802959360,YOU HATE LOTION?! Okay girl but have tried a body serum instead 🤭 @Saltair Body #fyp #viral #showerroutine #bodycareroutine ,54s,17000,591,6,4.35,8.51,54
talia.beentrill,https://www.tiktok.com/@6782056010276537350,https://www.tiktok.com/@/video/7625751957386317087?_r=1,7625751957386316800,@EBIN NEW YORK 💕#ebin #wigtok #hairtok #wiginstall ,16s,172900,4158,22,4.35,273.54,16
dealsseller,https://www.tiktok.com/@7553904117186708535,https://www.tiktok.com/@/video/7625090383906639117?_r=1,7625090383906638848,If you have lower back pain or sciatic pain. The goal is simple: creat space again 🤗#painrelief #lowerbackpain #sciaticapain #herniateddisc #backpain ,38s,37300,85,1,4.17,23.29,38
smittyyyyyyy1,https://www.tiktok.com/@6640095881759981574,https://www.tiktok.com/@/video/7626144099460009247?_r=1,7626144099460008960,this is my favorite lip liner is such a pretty shade and I will probably end up getting that shit tatted on my lips #lipliner #lips #liplinerhack #lipcombo #mauvelip ,41s,9731,56,4,3.7,34.02,41
influencedbymichelle,https://www.tiktok.com/@7151209970861261870,https://www.tiktok.com/@/video/7624276347464043789?_r=1,7624276347464043520,I bought this curler from @SHEGLAM HAIR US and I am loving it!  #curler #curlingiron #haircurler #SHEGLAMHAIR #tiktokshopcreatorpicks @SHEGLAM ,64s,1025,5,0,5.88,6.8,64
tarit.ours1,https://www.tiktok.com/@7612653789254616077,https://www.tiktok.com/@/video/7626073953383075086?_r=1,7626073953383074816,Welp lol guess I better find someone to kiss with these things! #lipplumper #lipfiller #drmelaxin #koreanbeauty #plumpinglipgloss ,76s,52648,124,5,4.0,113.94,76
hedda.josh,https://www.tiktok.com/@7522451819370824718,https://www.tiktok.com/@/video/7621195834549488909?_r=1,7621195834549488640,"5-Piece Eyeliner Stamp Set from TikTok: Waterproof, Cute & Double-Ended Fun!#eyelinerstamp #eyeliners #eyelinerstamp2in1 #eyemakeup #eyeliner  ",33s,4552,37,2,0.0,0.0,33
