brand_id,brand_name,creator_count,video_count,views,likes,product_count,ad_revenue,est_ad_spend,first_ad_date,last_ad_date
7495669275154155520,KaleidoscopeHairProducts,225,332,5261433,353862,37,1992.48,326.58,2025-08-12,2026-04-10
7495671234944272384,Discipline Success,3,73,1591386,14842,3,12313.64,2049.05,2026-01-25,2026-04-09
8653834563460568064,hince US,46,72,554838,5454,2,1273.04,212.2,2026-02-25,2026-04-07
7494336484138321920,Oluck US,70,128,1327970,20967,4,2670.88,447.61,2026-01-14,2026-04-06
7494192536732010496,SABJ-shop,25,93,454414,1994,2,880.88,151.27,2026-02-25,2026-04-10
7495475541802978304,Tangle Teezer,46,68,5570030,108528,4,1045.28,184.88,2025-06-25,2026-04-10
8646932002880786432,SYX BEAUTY,52,70,2023301,6168,6,626.64,110.97,2025-08-08,2026-02-17
8646932002946584576,Yusar Beauty,54,58,313570,7611,4,51.24,9.09,2026-01-30,2026-03-18
7494292718799259648,CheerCos,24,33,406350,2192,9,1728.26,309.91,2026-03-01,2026-04-01
7496003540822428672,WutongRain shop,42,161,387666,1886,7,355.73,63.82,2025-07-26,2026-03-19
7494253842129520640,GlowfulBeautyCo,14,21,618889,7623,1,3900.6,706.46,2026-03-02,2026-03-27
7496155818346580992,Ruzai Home Shop,43,137,2137345,8053,14,8202.9,1491.66,2026-02-13,2026-04-10
7494194972268660736,Pure Herb Lab,14,20,303628,2449,3,412.0,75.05,2026-01-20,2026-03-19
7495821266595186688,Beaukey,1,3,201413,1678,1,63.12,11.5,2026-02-26,2026-04-09
7495276542619192320,Chanceux Parfum,14,23,302851,3991,13,1450.8,265.23,2026-01-16,2026-02-25
7495306261341964288,Hampton Sun,102,132,534137,5336,1,1217.0,222.4,2026-01-30,2026-03-22
7496081281567525888,SmartCareUS,438,613,1511538,18452,19,781.29,145.08,2025-08-14,2026-04-08
7495709680375072768,Sky&Sol,234,513,1045622,7063,4,2337.35,434.92,2025-07-05,2026-03-29
7496124029681764352,Aomimegel USA,95,148,1926937,20181,4,40091.49,7545.01,2025-10-28,2026-04-08
8652028816738848768,Bamylash Shop,48,55,5788252,203304,3,9703.85,1830.97,2025-12-26,2026-03-12
7496267631272429568,Yibaikun Trading,2,105,483154,1752,1,421.41,79.83,2026-03-12,2026-04-07
7494202165472954368,Diamond Woman,38,51,891294,5716,8,3347.25,636.17,2026-01-30,2026-03-25
7494101356588337152,HOLIWELL,45,114,1426034,6513,13,12076.68,2311.22,2026-01-11,2026-02-11
7495805774899611648,BORDER SHOP,57,180,768980,5367,3,989.44,189.08,2026-02-17,2026-03-01
7494362432882967552,Smashbox Cosmetics,52,64,314690,3101,7,1245.3,238.6,2026-03-17,2026-04-10
7495810131670764544,KTS Light Therapy,88,186,3952985,79851,10,3065.83,588.89,2025-08-28,2026-04-06
7496306493951674368,Kylie Cosmetics,20,30,880874,27984,8,1249.4,240.49,2026-01-30,2026-03-27
7496004830187523072,Hashiz Perfumes,39,50,319313,2112,21,419.57,80.84,2025-12-08,2026-03-08
7494316505271337984,VIVIFRAGANCESARABIC,134,264,3774633,93941,67,896.16,172.88,2026-02-12,2026-04-08
7494302456471979008,CORUILAN Global,121,161,4456493,19284,2,1776.37,343.63,2026-02-26,2026-04-04
7496196201836218368,PAIOYLSL,19,43,896016,4871,2,3756.32,725.88,2026-02-09,2026-02-27
7495762786810235904,Qzqetet-US,92,251,2090226,29222,10,1088.79,211.99,2025-09-11,2026-03-17
7496108874700851200,TOAE Salon Hair Shop,14,117,3687453,27259,1,1076.56,209.49,2025-06-20,2026-04-05
7495042472037681152,SNFashionsLLC,66,93,11638060,116610,5,4449.81,867.69,2026-01-14,2026-03-18
7495651958916484096,Sooo Pro Cosmetics,26,68,3339398,56514,5,6115.33,1192.77,2026-01-06,2026-04-10
8651726181412933632,AGE20'S,80,96,5361713,18301,3,446.22,87.09,2025-09-17,2026-03-31
8651647745366790144,Chic Art Eyes,12,14,1429198,60990,1,212.88,41.62,2026-01-10,2026-04-10
7495254237719661568,NailBiz Share & Shop by Liem,1,42,1855327,13124,14,2369.2,463.21,2025-08-11,2026-03-25
7495052373042957312,Rude Cosmetics,103,228,3210694,102131,33,1150.66,225.33,2025-08-22,2026-03-19
7496118274416084992,DazzHue,23,138,2082584,6291,6,3676.08,720.18,2025-12-20,2026-02-27
7494095775969936384,QICIY SHOP,12,28,780451,8645,5,444.38,87.24,2025-10-21,2026-03-16
7495957954350843904,Belliva Beauty US,110,163,2279637,123704,6,4698.14,924.69,2025-11-25,2026-03-15
7495760845314557952,Hahahope Beauty,9,25,451623,3299,3,427.64,84.38,2026-03-18,2026-03-27
7494235218334876672,BENBO Massager,6,68,2162757,17920,1,3173.6,626.04,2026-01-23,2026-04-09
7495142598817713152,No Crap In It,6,20,490341,1249,2,2545.0,506.23,2026-04-03,2026-04-10
7494422685697935360,Ulta Beauty,90,116,492826,9559,14,449.0,89.26,2026-04-01,2026-04-09
7495050670643709952,Peach & Lily,2504,4791,14162942,255741,27,14080.02,2803.26,2025-01-14,2026-04-06
7496169946747538432,Hedong Store,5,57,3828634,45016,3,1656.95,330.0,2025-07-17,2026-04-07
7494108498270193664,CyperGlow,241,573,2049871,10801,1,4726.98,944.71,2025-12-10,2026-04-07
8652615230713597952,Dwat,26,28,273156,4596,1,58.7,11.74,2026-01-30,2026-04-01
7494195624784398336,Beauty major Business,12,57,361805,817,2,3074.96,614.94,2026-03-14,2026-04-06
7496205312302222336,Loveable Brands,8,12,1841695,65373,1,402.35,80.39,2026-01-19,2026-03-17
7494274180245849088,SupremeTan USA,102,255,4141277,88135,17,1694.86,339.75,2026-01-07,2026-04-09
7495630540880840704,SmartMouth,667,842,6035705,55383,12,1736.47,348.21,2025-02-09,2026-03-31
7496012250969443328,GlamorHub,43,544,4503325,11769,8,5460.25,1095.79,2025-04-21,2026-02-23
7495425879366339584,Timeless Skin Care,456,789,1310303,13510,6,696.47,140.06,2025-03-01,2026-03-19
7496086212121824256,Beetles Beauty Hub,240,390,6316904,211786,34,13337.66,2684.78,2025-03-09,2026-04-08
7495394845677291520,greatoralhealth,252,452,1932232,15124,7,2141.06,431.03,2025-05-23,2026-04-05
7496220914311202816,VanityGlitz,28,77,600488,8095,9,3662.39,736.77,2025-12-20,2026-04-09
7495968920525178880,Fragrance Story INC,80,197,6247395,136927,10,3606.76,726.54,2025-03-09,2026-03-12
7496043344962226176,SassyTip Studio,243,373,7406145,119331,9,980.38,197.49,2025-03-16,2026-04-01
7494125141690450944,WELLHEAL,16,39,379952,2857,5,309.85,62.47,2026-02-10,2026-02-12
8647166534530600960,RunY eyelashes,58,71,2937069,182819,20,2232.19,449.91,2025-06-26,2026-03-25
7494150417435559936,XXXFDADS,11,78,1075179,1944,8,50.06,10.12,2026-01-31,2026-03-25
7496275998903995392,The edit Beauty,15,171,1521226,3070,2,1463.31,295.72,2025-12-01,2026-03-02
7496126348817565696,Comfy Hack Home,27,56,704384,5508,9,1006.59,203.89,2025-12-28,2026-03-19
7494169260587124736,Luxe Look Lab,74,135,4165466,31779,7,16433.85,3330.02,2025-11-14,2026-03-29
7495284941154650112,Acure,466,608,2498058,14302,15,8252.92,1669.75,2025-10-23,2026-04-09
7494172135231947776,Tweezerman,17,82,1248337,6164,11,2790.96,565.27,2026-02-13,2026-04-09
7495953411395913728,KingsFolk,120,572,8109130,57731,4,14980.75,3031.71,2025-05-20,2026-04-04
7494992828810627072,African Pride,34,130,2071180,79510,14,3668.89,744.48,2025-10-28,2026-04-10
7495622051066842112,GINGERMILKNATURALCARE,25,68,682281,40468,9,669.18,135.84,2026-03-25,2026-04-07
7496227584715556864,DEOU Personal Care,48,247,1729672,3644,12,4612.08,935.31,2025-10-18,2026-04-10
