creator_name,creator_id,creator_category,creator_tiktok_url,creator_fastmoss_url,followers,sales_volume_90d,sales_revenue_90d,live_gpm,video_gpm,store_product_count
Esthetician Nikki,skincarepronikki,Shopping & Retail,https://www.tiktok.com/@skincarepronikki,https://www.fastmoss.com/en/influencer/detail/7215285688273798187,150927,41377,3640866.86,$0-$0,$31.77-$33.31,124
medicube US Store,medicube_official_shop,Shopping & Retail,https://www.tiktok.com/@medicube_official_shop,https://www.fastmoss.com/en/influencer/detail/7291517492299007018,429631,45125,3018566.04,$136.93-$163.16,$21.25-$39.63,228
Kayc,kaycstash,Beauty & Makeup,https://www.tiktok.com/@kaycstash,https://www.fastmoss.com/en/influencer/detail/7446281618836603950,30694,16409,1838323.39,$0-$0,$19.68-$23.13,19
Jessica Campbell,jessicaaa.1996,Health & Wellness,https://www.tiktok.com/@jessicaaa.1996,https://www.fastmoss.com/en/influencer/detail/7270784888601101355,85908,20859,1580144.61,$0-$0,$18.79-$51.87,4
Yolanda B 💖,itsmeyolandab,Other,https://www.tiktok.com/@itsmeyolandab,https://www.fastmoss.com/en/influencer/detail/7498411176376796191,33371,38638,1557907.76,$13.67-$20.82,$39.04-$47.32,63
Midlife Nursing Aesthetics,midlife.nursing,Beauty & Makeup,https://www.tiktok.com/@midlife.nursing,https://www.fastmoss.com/en/influencer/detail/7250601658829849646,38244,13101,1203169.69,$0-$0,$25.64-$26.56,61
cakedfinds,cakedfinds,Fashion & Accessories,https://www.tiktok.com/@cakedfinds,https://www.fastmoss.com/en/influencer/detail/7436686228703265838,51456,12214,1094436.82,$0-$0,$50.82-$58.99,51
kendrabrowning1,kendrabrowning1,Fashion & Accessories,https://www.tiktok.com/@kendrabrowning1,https://www.fastmoss.com/en/influencer/detail/6997931477694809094,213715,23622,997814.29,$0-$0,$27.08-$30.69,9
juliesbeautybyreview,juliesbeautybyreview,Beauty & Makeup,https://www.tiktok.com/@juliesbeautybyreview,https://www.fastmoss.com/en/influencer/detail/6836914556875981830,755599,6600,764474.86,$0-$0,$48.9-$50.71,10
Kim-MomPreneur,southernmompreneur,Home & Appliances,https://www.tiktok.com/@southernmompreneur,https://www.fastmoss.com/en/influencer/detail/7160782804195640366,36668,7416,707209.29,$0-$0,$35.49-$44.7,60
ChryssyVsDream,chryssyvsdream,Fashion & Accessories,https://www.tiktok.com/@chryssyvsdream,https://www.fastmoss.com/en/influencer/detail/6817946908814017542,355336,12503,612884.2,$0-$0,$12.77-$21.83,44
NurseHaus,thestephedition,Shopping & Retail,https://www.tiktok.com/@thestephedition,https://www.fastmoss.com/en/influencer/detail/6753111641049203717,97649,21157,579974.98,$0-$0,$27.19-$37.27,5
Ivette | 50+ Beauty & Style,queengambin,Other,https://www.tiktok.com/@queengambin,https://www.fastmoss.com/en/influencer/detail/6532011478185148417,7117,11544,546154.92,$0-$0,$24.48-$25.99,11
sadefinds1,sadefinds1,Other,https://www.tiktok.com/@sadefinds1,https://www.fastmoss.com/en/influencer/detail/7544036433149821982,54051,9261,535477.95,$0-$0,$0-$0,18
Susan Luckhardt,susanluckhardt,Fashion & Accessories,https://www.tiktok.com/@susanluckhardt,https://www.fastmoss.com/en/influencer/detail/17956324,216290,11779,473286.61,$0-$0,$56.15-$94.99,16
I have a shopping addiction,natiscart,Other,https://www.tiktok.com/@natiscart,https://www.fastmoss.com/en/influencer/detail/6865455528727708677,66888,12793,457092.44,$0-$0,$21.71-$25.21,16
