product_image_url,product_title,price,tiktok_product_url,fastmoss_product_url,listing_date,commission_rate,sales_volume_28d,sales_revenue_28d
https://s.500fd.com/tt_product/85463742174a4222b3c25cb2b1184e35~tplv-fhlh96nyum-crop-webp:2000:2000.webp,"[NEW] [medicube] PDRN Pink Collagen Volume Multi Balm | All In One Volufiline, PDRN, NAD Stick for Youthful-Looking, Helping Look of Fine Lines, Firming Care, Anti-Aging Care | For Under-Eyes, Neck, Forehead, Smile Lines, Lip Care | Korean Skincare",$17.00  - 32.00,https://shop.tiktok.com/view/product/1729508370969629931?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1729508370969629931,2026-03-18 13:11:24,15%,152496,3300976
https://s.500fd.com/tt_product/b16b49b38e0f477c9750f77eec3a9167~tplv-fhlh96nyum-crop-webp:2000:2000.webp,"[NEW] [medicube] PDRN Pink Caffeine Collagen Eye Patch for Night CareㅣFuller-Looking Eye Area, Under-Eye Puffiness, Dark Circles Care for Smooth, Radiant & Youthful-Looking | Korean Skincare, K-Beauty",$18.90  - 29.90,https://shop.tiktok.com/view/product/1732269507528855787?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732269507528855787,2026-02-14 01:00:21,15%,27396,555868
https://s.500fd.com/tt_product/303e71099fb44e9b8aeb78dc58e7c719~tplv-fhlh96nyum-resize-jpeg:800:800.jpeg,"[medicube] Kojic Acid Turmeric Peel Shot Duo For Face & Body | Brightening Reset Gentle Exfoliating Serum with BHA, LHA & PHA for Dead Skin Cells, Blackheads & Excess Sebum | For Dull, Rough & Troubled Skin",$26.90  - 52.00,https://shop.tiktok.com/view/product/1732182201234002155?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732182201234002155,2026-01-13 00:35:28,15%,8984,565840
https://s.500fd.com/tt_product/7f9c0b602f834a1cb2f0f715d5499a54~tplv-fhlh96nyum-crop-webp:2000:2000.webp,"[NEW] [medicube] Rosemary PDRN Scalp-to-Hair Strengthening Set | Includes Shampoo, Conditioner, Scalp Serum | Hair Thinning Care Set for Dry & Oily, Damaged, Frizzy Hair, Oily Flaky-looking Scalp | Korea Hair Care",$52.00,https://shop.tiktok.com/view/product/1732224555871080683?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732224555871080683,2026-01-23 07:07:25,15%,8128,465524
https://s.500fd.com/tt_product/105c7238185f4000855ed81ef4bcc8bd~tplv-fhlh96nyum-resize-jpeg:800:800.jpeg,"[NEW] [medicube] Hypochlorous Acid Peel Masks | Peel-Off Sheet Mask for Excess Sebum & Pore Care | Panthenol, Hyaluronic acid for Hydrating & Pore-Refining Care | Korean Skincare, (13ml / 0.43 fl. oz. X 3ea)",$18.00  - 34.00,https://shop.tiktok.com/view/product/1729482857854375147?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1729482857854375147,2026-01-30 16:30:42,15%,4644,117208
https://s.500fd.com/tt_product/3001ef048a2546da8b873435a83e461d~tplv-fhlh96nyum-resize-jpeg:800:800.jpeg,"[NEW] [medicube] 3H Overnight Drying Lotion | Targeted Spot Care for Troubled & Oily-Prone Skin | Calming & Soothing Care with Calamine, Centella & Tea Tree | Korean Skincare 20ml, 0.67 fl. oz.",$17.00  - 27.00,https://shop.tiktok.com/view/product/1732292630979711211?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732292630979711211,2026-03-17 13:40:38,15%,4560,84080
https://s.500fd.com/tt_product/36ab98969742455797efeeae113fdf97~tplv-fhlh96nyum-resize-jpeg:800:800.jpeg,"[NEW] [medicube] Cora's Confident Pits Kit | Includes Kojic Acid Turmeric Peel Shot, Kojic Brightening Body Wash, Kojic Gold Vita Jelly Mist Serum",$47.00,https://shop.tiktok.com/view/product/1732269364261720299?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732269364261720299,2026-02-22 00:31:15,15%,2605,209762
https://s.500fd.com/tt_product/d170b2de0511412e9e49b4188148b9d3~tplv-fhlh96nyum-crop-webp:2000:2000.webp,"[NEW] [medicube] Ultra Light PDRN Pink Peptide Serum | Lightweight Hydrating Serum with Salmon PDRN & Hyaluronic Acid | Fast-Absorbing Glow Care for Skin Clarity | K-Beauty, Korean Skincare (30ml / 1.01 fl. oz.)",$18.00,https://shop.tiktok.com/view/product/1732311456669012203?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732311456669012203,2026-03-30 23:20:40,15%,1942,38643
https://s.500fd.com/tt_product/0b51cfa02485477bb7bf550e966bcb2c~tplv-fhlh96nyum-resize-jpeg:800:800.jpeg,"[NEW] [medicube] Licensed Esthetician Nikki's New Year New You Set | Includes PDRN Collagen Glow Jelly Mist Serum, PDRN Peptide Serum, Deep Vita C Capsule Cream, Deep Reviving Peptide Eye Cream",$59.99,https://shop.tiktok.com/view/product/1732272025987551467?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732272025987551467,2026-02-21 04:51:42,15%,1919,192149
https://s.500fd.com/tt_product/d1b0d405f4ea4abd906f6ef1fda9b9d1~tplv-fhlh96nyum-resize-jpeg:800:800.jpeg,"[medicube] Mix & Match Capsule Cleansing Foam Set | PDRN, Azelaic Acid, Kojic Acid Daily Face Wash for Uneven Skin Tone, Glow Hydration, Brightening | Korean Skincare, K-beauty",$39.90  - 51.00,https://shop.tiktok.com/view/product/1732275697462448363?region=&local=en,https://www.fastmoss.com/zh/e-commerce/detail/1732275697462448363,2026-02-25 21:03:39,15%,1066,71535
